ID	site	nation	POINT_X	POINT_Y	type	name	asset_no	caption	date_est	image
11	EDEN VALLEY 216	Stoney Nakoda First Nation	-114.4765775	50.4022609	Bridge / Culvert	Testing data: EDEN VALLEY 216:Bridge / Culvert11	305708-01	"this is testing data, not a real asset that exists"	1988-09-08T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
12	EDEN VALLEY 216	Stoney Nakoda First Nation	-114.4342553	50.42904179	Bridge / Culvert	Testing data: EDEN VALLEY 216:Bridge / Culvert12	251384-01	"this is testing data, not a real asset that exists"	1998-11-06T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
13	EDEN VALLEY 216	Stoney Nakoda First Nation	-114.2239687	50.46332712	Bridge / Culvert	Testing data: EDEN VALLEY 216:Bridge / Culvert13	693697-01	"this is testing data, not a real asset that exists"	1996-11-12T08:43:06Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
14	SIKSIKA 146	Siksika Nation	-113.0335283	50.75886623	Bridge / Culvert	Testing data: SIKSIKA 146:Bridge / Culvert14	440636-01	"this is testing data, not a real asset that exists"	1930-12-30T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
15	SIKSIKA 146	Siksika Nation	-112.7133042	50.77889261	Bridge / Culvert	Testing data: SIKSIKA 146:Bridge / Culvert15	195764-01	"this is testing data, not a real asset that exists"	1955-12-06T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
16	SIKSIKA 146	Siksika Nation	-112.9849965	50.80068089	Bridge / Culvert	Testing data: SIKSIKA 146:Bridge / Culvert16	779373-01	"this is testing data, not a real asset that exists"	1971-01-08T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
17	TSUU T'INA 145	Tsuu T'ina Nation	-114.3579935	50.93153162	Bridge / Culvert	Testing data: TSUU T'INA 145:Bridge / Culvert17	777108-01	"this is testing data, not a real asset that exists"	1978-11-10T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
18	TSUU T'INA 145	Tsuu T'ina Nation	-114.3770527	50.95072174	Bridge / Culvert	Testing data: TSUU T'INA 145:Bridge / Culvert18	666967-01	"this is testing data, not a real asset that exists"	1992-10-16T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
19	TSUU T'INA 145	Tsuu T'ina Nation	-114.3343875	50.98723386	Bridge / Culvert	Testing data: TSUU T'INA 145:Bridge / Culvert19	568344-01	"this is testing data, not a real asset that exists"	2013-03-25T08:43:06Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
20	STONEY 142-143-144	Stoney Nakoda First Nation	-114.9719321	51.07614281	Bridge / Culvert	Testing data: STONEY 142-143-144:Bridge / Culvert20	181970-01	"this is testing data, not a real asset that exists"	1970-09-26T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
21	STONEY 142-143-144	Stoney Nakoda First Nation	-114.9178962	51.12952803	Bridge / Culvert	Testing data: STONEY 142-143-144:Bridge / Culvert21	334252-01	"this is testing data, not a real asset that exists"	1934-06-26T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
22	STONEY 142-143-144	Stoney Nakoda First Nation	-114.7370956	51.18110005	Bridge / Culvert	Testing data: STONEY 142-143-144:Bridge / Culvert22	669050-01	"this is testing data, not a real asset that exists"	1959-09-05T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
23	STONEY 142B	Stoney Nakoda First Nation	-114.7825026	51.29264576	Bridge / Culvert	Testing data: STONEY 142B:Bridge / Culvert23	794376-01	"this is testing data, not a real asset that exists"	1973-12-28T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
24	STONEY 142B	Stoney Nakoda First Nation	-114.7936014	51.31594025	Bridge / Culvert	Testing data: STONEY 142B:Bridge / Culvert24	745127-01	"this is testing data, not a real asset that exists"	1894-12-27T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
25	STONEY 142B	Stoney Nakoda First Nation	-114.8422778	51.34351082	Bridge / Culvert	Testing data: STONEY 142B:Bridge / Culvert25	523895-01	"this is testing data, not a real asset that exists"	1877-03-03T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
26	BIG HORN 144A	Stoney Nakoda First Nation	-116.2561814	52.36620392	Bridge / Culvert	Testing data: BIG HORN 144A:Bridge / Culvert26	437680-01	"this is testing data, not a real asset that exists"	1934-06-14T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
27	BIG HORN 144A	Stoney Nakoda First Nation	-116.2472706	52.38453767	Bridge / Culvert	Testing data: BIG HORN 144A:Bridge / Culvert27	185777-01	"this is testing data, not a real asset that exists"	1946-08-12T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
28	BIG HORN 144A	Stoney Nakoda First Nation	-116.2229597	52.40024758	Bridge / Culvert	Testing data: BIG HORN 144A:Bridge / Culvert28	657014-01	"this is testing data, not a real asset that exists"	1965-06-05T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
29	SUNCHILD 202	Sunchild First Nation	-115.293563	52.67387238	Bridge / Culvert	Testing data: SUNCHILD 202:Bridge / Culvert29	809604-01	"this is testing data, not a real asset that exists"	1980-09-09T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
30	SUNCHILD 202	Sunchild First Nation	-115.307894	52.68425284	Bridge / Culvert	Testing data: SUNCHILD 202:Bridge / Culvert30	690932-01	"this is testing data, not a real asset that exists"	2006-02-27T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
31	SUNCHILD 202	Sunchild First Nation	-115.3105862	52.70379182	Bridge / Culvert	Testing data: SUNCHILD 202:Bridge / Culvert31	673872-01	"this is testing data, not a real asset that exists"	2016-02-12T08:43:06Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
32	SUNCHILD 202	Sunchild First Nation	-115.3082049	52.72374137	Bridge / Culvert	Testing data: SUNCHILD 202:Bridge / Culvert32	451030-01	"this is testing data, not a real asset that exists"	1899-03-02T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
33	MONTANA 139	Montana First Nation	-113.4500661	52.7273739	Bridge / Culvert	Testing data: MONTANA 139:Bridge / Culvert33	406482-01	"this is testing data, not a real asset that exists"	1909-07-31T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
34	MONTANA 139	Montana First Nation	-113.391181	52.73501993	Bridge / Culvert	Testing data: MONTANA 139:Bridge / Culvert34	104177-01	"this is testing data, not a real asset that exists"	1919-02-26T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
35	MONTANA 139	Montana First Nation	-113.4295199	52.74693611	Bridge / Culvert	Testing data: MONTANA 139:Bridge / Culvert35	624779-01	"this is testing data, not a real asset that exists"	1929-02-26T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
36	MONTANA 139	Montana First Nation	-113.4703711	52.75281683	Bridge / Culvert	Testing data: MONTANA 139:Bridge / Culvert36	177928-01	"this is testing data, not a real asset that exists"	1935-06-20T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
37	O'CHIESE 203	O'chiese First Nation	-115.3442074	52.76659439	Bridge / Culvert	Testing data: O'CHIESE 203:Bridge / Culvert37	682414-01	"this is testing data, not a real asset that exists"	1966-10-15T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
38	SAMSON 137A	Samson Cree Nation	-113.4283267	52.76078654	Bridge / Culvert	Testing data: SAMSON 137A:Bridge / Culvert38	641236-01	"this is testing data, not a real asset that exists"	1978-12-01T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
39	SAMSON 137A	Samson Cree Nation	-113.4357211	52.76255131	Bridge / Culvert	Testing data: SAMSON 137A:Bridge / Culvert39	188347-01	"this is testing data, not a real asset that exists"	1978-12-01T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
40	SAMSON 137	Samson Cree Nation	-113.4178536	52.7792843	Bridge / Culvert	Testing data: SAMSON 137:Bridge / Culvert40	762931-01	"this is testing data, not a real asset that exists"		https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
41	O'CHIESE 203	O'chiese First Nation	-115.3265798	52.80749459	Bridge / Culvert	Testing data: O'CHIESE 203:Bridge / Culvert41	720024-01	"this is testing data, not a real asset that exists"	1965-11-08T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
42	O'CHIESE 203	O'chiese First Nation	-115.3559411	52.82575174	Bridge / Culvert	Testing data: O'CHIESE 203:Bridge / Culvert42	841371-01	"this is testing data, not a real asset that exists"	1996-11-12T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
43	ERMINESKIN 138	Ermineskin Cree Nation	-113.4151528	52.82705357	Bridge / Culvert	Testing data: ERMINESKIN 138:Bridge / Culvert43	566715-01	"this is testing data, not a real asset that exists"	1968-10-02T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
44	ALEXIS CARDINAL RIVER 234	Alexis Nakota Sioux Nation	-117.0266041	52.8269257	Bridge / Culvert	Testing data: ALEXIS CARDINAL RIVER 234:Bridge / Culvert44	834695-01	"this is testing data, not a real asset that exists"	1965-09-21T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
45	SAMSON 137	Samson Cree Nation	-113.3542455	52.8408013	Bridge / Culvert	Testing data: SAMSON 137:Bridge / Culvert45	621462-01	"this is testing data, not a real asset that exists"	1978-11-10T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
46	ALEXIS CARDINAL RIVER 234	Alexis Nakota Sioux Nation	-117.0364824	52.84599421	Bridge / Culvert	Testing data: ALEXIS CARDINAL RIVER 234:Bridge / Culvert46	310727-01	"this is testing data, not a real asset that exists"	1792-10-10T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
47	ERMINESKIN 138	Ermineskin Cree Nation	-113.4578448	52.8612491	Bridge / Culvert	Testing data: ERMINESKIN 138:Bridge / Culvert47	637813-01	"this is testing data, not a real asset that exists"	1966-10-15T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
48	BUCK LAKE 133C	Paul First Nation	-114.6794485	52.8752722	Bridge / Culvert	Testing data: BUCK LAKE 133C:Bridge / Culvert48	769495-01	"this is testing data, not a real asset that exists"	1949-06-08T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
49	ALEXIS CARDINAL RIVER 234	Alexis Nakota Sioux Nation	-117.0276717	52.86318865	Bridge / Culvert	Testing data: ALEXIS CARDINAL RIVER 234:Bridge / Culvert49	873762-01	"this is testing data, not a real asset that exists"	1933-08-10T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
50	LOUIS BULL 138B	Louis Bull Tribe	-113.5415799	52.87399831	Bridge / Culvert	Testing data: LOUIS BULL 138B:Bridge / Culvert50	630578-01	"this is testing data, not a real asset that exists"	1929-02-21T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
51	ERMINESKIN 138	Ermineskin Cree Nation	-113.4714218	52.87926469	Bridge / Culvert	Testing data: ERMINESKIN 138:Bridge / Culvert51	725391-01	"this is testing data, not a real asset that exists"	1941-04-05T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
52	BUCK LAKE 133C	Paul First Nation	-114.6723788	52.89274991	Bridge / Culvert	Testing data: BUCK LAKE 133C:Bridge / Culvert52	511728-01	"this is testing data, not a real asset that exists"	1961-09-13T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
53	BUCK LAKE 133C	Paul First Nation	-114.6627017	52.89710038	Bridge / Culvert	Testing data: BUCK LAKE 133C:Bridge / Culvert53	555594-01	"this is testing data, not a real asset that exists"	1964-08-31T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
54	ERMINESKIN 138	Ermineskin Cree Nation	-113.443714	52.89012413	Bridge / Culvert	Testing data: ERMINESKIN 138:Bridge / Culvert54	433897-01	"this is testing data, not a real asset that exists"	1967-11-27T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
55	LOUIS BULL 138B	Louis Bull Tribe	-113.5970892	52.89419624	Bridge / Culvert	Testing data: LOUIS BULL 138B:Bridge / Culvert55	760000-01	"this is testing data, not a real asset that exists"	1972-08-25T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
56	ERMINESKIN 138	Ermineskin Cree Nation	-113.4171556	52.90557563	Bridge / Culvert	Testing data: ERMINESKIN 138:Bridge / Culvert56	336691-01	"this is testing data, not a real asset that exists"	1976-10-18T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
57	ALEXIS ELK RIVER 233	Alexis Nakota Sioux Nation	-116.5501678	52.92251974	Bridge / Culvert	Testing data: ALEXIS ELK RIVER 233:Bridge / Culvert57	513657-01	"this is testing data, not a real asset that exists"	1979-10-12T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
58	ERMINESKIN 138	Ermineskin Cree Nation	-113.473235	52.92634156	Bridge / Culvert	Testing data: ERMINESKIN 138:Bridge / Culvert58	820478-01	"this is testing data, not a real asset that exists"	1989-10-02T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
59	ALEXIS ELK RIVER 233	Alexis Nakota Sioux Nation	-116.554405	52.92955112	Bridge / Culvert	Testing data: ALEXIS ELK RIVER 233:Bridge / Culvert59	369945-01	"this is testing data, not a real asset that exists"	1998-11-06T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
60	PIGEON LAKE 138A	"Shared By: Ermineskin, Samson, Louis Bull, Montana"	-113.9538321	52.97092704	Bridge / Culvert	Testing data: PIGEON LAKE 138A:Bridge / Culvert60	147110-01	"this is testing data, not a real asset that exists"	1907-03-04T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
61	PIGEON LAKE 138A	"Shared By: Ermineskin, Samson, Louis Bull, Montana"	-113.958545	52.99738202	Bridge / Culvert	Testing data: PIGEON LAKE 138A:Bridge / Culvert61	309726-01	"this is testing data, not a real asset that exists"	1933-03-02T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
62	PIGEON LAKE 138A	"Shared By: Ermineskin, Samson, Louis Bull, Montana"	-113.9718154	53.01443103	Bridge / Culvert	Testing data: PIGEON LAKE 138A:Bridge / Culvert62	261821-01	"this is testing data, not a real asset that exists"	1958-05-29T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
63	ENOCH CREE NATION 135	Enoch Cree Nation	-113.8052272	53.45633269	Bridge / Culvert	Testing data: ENOCH CREE NATION 135:Bridge / Culvert63	613351-01	"this is testing data, not a real asset that exists"	1974-10-01T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
64	ENOCH CREE NATION 135	Enoch Cree Nation	-113.8101729	53.46973496	Bridge / Culvert	Testing data: ENOCH CREE NATION 135:Bridge / Culvert64	416653-01	"this is testing data, not a real asset that exists"	1978-11-10T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
65	ENOCH CREE NATION 135	Enoch Cree Nation	-113.7384929	53.48314352	Bridge / Culvert	Testing data: ENOCH CREE NATION 135:Bridge / Culvert65	497049-01	"this is testing data, not a real asset that exists"	1992-10-27T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
66	WABAMUN 133A	Paul First Nation	-114.4916218	53.49512499	Bridge / Culvert	Testing data: WABAMUN 133A:Bridge / Culvert66	692781-01	"this is testing data, not a real asset that exists"	2013-03-25T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
67	ENOCH CREE NATION 135	Enoch Cree Nation	-113.750178	53.50288955	Bridge / Culvert	Testing data: ENOCH CREE NATION 135:Bridge / Culvert67	763993-01	"this is testing data, not a real asset that exists"	1970-10-21T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
68	WABAMUN 133A	Paul First Nation	-114.3795086	53.52072828	Bridge / Culvert	Testing data: WABAMUN 133A:Bridge / Culvert68	358090-01	"this is testing data, not a real asset that exists"	1935-12-21T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
69	WABAMUN 133B	Paul First Nation	-114.4385424	53.54178532	Bridge / Culvert	Testing data: WABAMUN 133B:Bridge / Culvert69	440742-01	"this is testing data, not a real asset that exists"	1960-07-06T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
70	WABAMUN 133B	Paul First Nation	-114.4409808	53.54688357	Bridge / Culvert	Testing data: WABAMUN 133B:Bridge / Culvert70	252873-01	"this is testing data, not a real asset that exists"	1980-07-01T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
71	WABAMUN 133B	Paul First Nation	-114.4300826	53.55171928	Bridge / Culvert	Testing data: WABAMUN 133B:Bridge / Culvert71	108727-01	"this is testing data, not a real asset that exists"	1895-02-11T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
72	WABAMUN 133B	Paul First Nation	-114.4407608	53.55549976	Bridge / Culvert	Testing data: WABAMUN 133B:Bridge / Culvert72	116951-01	"this is testing data, not a real asset that exists"	1886-12-07T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
73	ENOCH CREE NATION 135A	Enoch Cree Nation	-114.4226267	53.73247485	Bridge / Culvert	Testing data: ENOCH CREE NATION 135A:Bridge / Culvert73	185025-01	"this is testing data, not a real asset that exists"	1908-02-07T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
74	ENOCH CREE NATION 135A	Enoch Cree Nation	-114.4195802	53.73268869	Bridge / Culvert	Testing data: ENOCH CREE NATION 135A:Bridge / Culvert74	879508-01	"this is testing data, not a real asset that exists"	1915-10-04T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
75	ENOCH CREE NATION 135A	Enoch Cree Nation	-114.4200368	53.73287298	Bridge / Culvert	Testing data: ENOCH CREE NATION 135A:Bridge / Culvert75	325415-01	"this is testing data, not a real asset that exists"	1923-03-02T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
76	ALEXIS 133	Alexis Nakota Sioux Nation	-114.5057189	53.73878498	Bridge / Culvert	Testing data: ALEXIS 133:Bridge / Culvert76	615330-01	"this is testing data, not a real asset that exists"	1925-03-03T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
77	ALEXIS 133	Alexis Nakota Sioux Nation	-114.5021699	53.74585914	Bridge / Culvert	Testing data: ALEXIS 133:Bridge / Culvert77	687799-01	"this is testing data, not a real asset that exists"	1935-08-21T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
78	MAKAOO 120	Onion Lake Cree Nation	-110.0317813	53.65908464	Bridge / Culvert	Testing data: MAKAOO 120:Bridge / Culvert78	245431-01	"this is testing data, not a real asset that exists"	1948-04-28T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
79	ALEXIS 133	Alexis Nakota Sioux Nation	-114.5174224	53.77426564	Bridge / Culvert	Testing data: ALEXIS 133:Bridge / Culvert79	439900-01	"this is testing data, not a real asset that exists"	1965-08-21T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
80	ALEXIS 133	Alexis Nakota Sioux Nation	-114.5494146	53.78695738	Bridge / Culvert	Testing data: ALEXIS 133:Bridge / Culvert80	536156-01	"this is testing data, not a real asset that exists"	1980-12-19T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
81	MAKAOO 120	Onion Lake Cree Nation	-109.9954044	53.69187586	Bridge / Culvert	Testing data: MAKAOO 120:Bridge / Culvert81	752950-01	"this is testing data, not a real asset that exists"	2011-11-01T08:43:06Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
82	MAKAOO 120	Onion Lake Cree Nation	-109.9838412	53.70125942	Bridge / Culvert	Testing data: MAKAOO 120:Bridge / Culvert82	159200-01	"this is testing data, not a real asset that exists"	2016-04-12T08:43:06Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
83	MAKAOO 120	Onion Lake Cree Nation	-109.9765838	53.71682499	Bridge / Culvert	Testing data: MAKAOO 120:Bridge / Culvert83	325329-01	"this is testing data, not a real asset that exists"	1902-05-22T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
84	ALEXANDER 134	Alexander First Nation	-113.9164989	53.83184285	Bridge / Culvert	Testing data: ALEXANDER 134:Bridge / Culvert84	562925-01	"this is testing data, not a real asset that exists"	1910-05-11T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
85	UNIPOUHEOS 121	Frog Lake First Nation	-110.3447281	53.84225369	Bridge / Culvert	Testing data: UNIPOUHEOS 121:Bridge / Culvert85	347565-01	"this is testing data, not a real asset that exists"	1922-01-24T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
86	UNIPOUHEOS 121	Frog Lake First Nation	-110.3355021	53.84947481	Bridge / Culvert	Testing data: UNIPOUHEOS 121:Bridge / Culvert86	353252-01	"this is testing data, not a real asset that exists"	1929-04-12T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
87	UNIPOUHEOS 121	Frog Lake First Nation	-110.3926175	53.88666738	Bridge / Culvert	Testing data: UNIPOUHEOS 121:Bridge / Culvert87	462053-01	"this is testing data, not a real asset that exists"	1936-08-16T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
88	SADDLE LAKE 125	Saddle Lake Cree Nation	-111.5719595	53.94421379	Bridge / Culvert	Testing data: SADDLE LAKE 125:Bridge / Culvert88	388853-01	"this is testing data, not a real asset that exists"	1968-10-02T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
89	SADDLE LAKE 125	Saddle Lake Cree Nation	-111.56617	53.95221342	Bridge / Culvert	Testing data: SADDLE LAKE 125:Bridge / Culvert89	668785-01	"this is testing data, not a real asset that exists"	1978-12-01T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
90	PUSKIAKIWENIN 122	Frog Lake First Nation	-110.4163374	53.92701607	Bridge / Culvert	Testing data: PUSKIAKIWENIN 122:Bridge / Culvert90	342462-01	"this is testing data, not a real asset that exists"	1978-12-01T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
91	SADDLE LAKE 125	Saddle Lake Cree Nation	-111.7114051	53.98747843	Bridge / Culvert	Testing data: SADDLE LAKE 125:Bridge / Culvert91	262359-01	"this is testing data, not a real asset that exists"	1902-07-01T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
92	BLUE QUILLS	"Shared By: Beaver Lk, Frog Lk, Heart Lk, Kehewin Cree, Saddle Lk"	-111.3745348	53.99183663	Bridge / Culvert	Testing data: BLUE QUILLS:Bridge / Culvert92	161560-01	"this is testing data, not a real asset that exists"	1965-11-11T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
93	BLUE QUILLS	"Shared By: Beaver Lk, Frog Lk, Heart Lk, Kehewin Cree, Saddle Lk"	-111.372963	53.99528354	Bridge / Culvert	Testing data: BLUE QUILLS:Bridge / Culvert93	140998-01	"this is testing data, not a real asset that exists"	1978-11-10T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
